GeneID:ID|Synonyms:String[]|Description|Source|:Label
PCYC:LMRG_01091|LMRG_01091|Ferredoxin|PlantCyc_Gene|Gene
PCYC:LMRG_01596|LMRG_01596|FIG142847: Shikimate/quinate 5-dehydrogenase I beta (EC 1.1.1.282)|PlantCyc_Gene|Gene
PCYC:LMRG_00319|LMRG_00319|FIG001408: Rrf2 family transcriptional regulator|PlantCyc_Gene|Gene
PCYC:LMRG_00224|LMRG_00224|FIG004715: PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)|PlantCyc_Gene|Gene
PCYC:LMRG_02594|LMRG_02594|FIG086823: ABC transporter, ATP-binding protein|PlantCyc_Gene|Gene
PCYC:LMRG_02171|LMRG_02171|LSU ribosomal protein L22p (L17e)|PlantCyc_Gene|Gene
PCYC:LMRG_01312|LMRG_01312|FIG019773: membrane protein|PlantCyc_Gene|Gene
PCYC:LMRG_00214|LMRG_00214|FIG007176: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00662|LMRG_00662|FIG008147: N-acetylmuramoyl-L-alanine amidase, family 4|PlantCyc_Gene|Gene
PCYC:LMRG_02198|LMRG_02198|Translation elongation factor Tu|PlantCyc_Gene|Gene
PCYC:LMRG_02067|LMRG_02067|NAD kinase (EC 2.7.1.23)|PlantCyc_Gene|Gene
PCYC:LMRG_02795|LMRG_02795|FIG137416: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02727|LMRG_02727|Na(+) H(+) antiporter subunit E|PlantCyc_Gene|Gene
PCYC:LMRG_00348|LMRG_00348|FIG009059: carboxymuconolactone decarboxylase family protein|PlantCyc_Gene|Gene
PCYC:LMRG_02077|LMRG_02077|Putative acetyl esterase YjcH (EC 3.1.1.-)|PlantCyc_Gene|Gene
PCYC:LMRG_01932|LMRG_01932|FIG029916: PTS system, cellobiose-specific IIC component (EC 2.7.1.69)|PlantCyc_Gene|Gene
PCYC:LMRG_00603|LMRG_00603|Propanediol utilization protein PduL|PlantCyc_Gene|Gene
PCYC:LMRG_00606|LMRG_00606|Propanediol utilization polyhedral body protein PduN|PlantCyc_Gene|Gene
PCYC:LMRG_01218|LMRG_01218|FIG000056: Heat shock protein 60 family chaperone GroEL|PlantCyc_Gene|Gene
PCYC:LMRG_02130|LMRG_02130|FIG011335: ATP-binding protein, Mrp/Nbp35 family|PlantCyc_Gene|Gene
PCYC:LMRG_01105|LMRG_01105|FIG021693: ABC-type Fe3+-siderophore transport system, permease component|PlantCyc_Gene|Gene
PCYC:LMRG_01924|LMRG_01924|FIG001882: 6-phospho-beta-glucosidase (EC 3.2.1.86)|PlantCyc_Gene|Gene
PCYC:LMRG_00086|LMRG_00086|FIG009061: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01344|LMRG_01344|YjeF protein, C-terminal domain|PlantCyc_Gene|Gene
PCYC:LMRG_00443|LMRG_00443|FIG006988: Lipase/Acylhydrolase with GDSL-like motif|PlantCyc_Gene|Gene
PCYC:LMRG_01785|LMRG_01785;lmo2643|putative membrane transport protein|PlantCyc_Gene|Gene
PCYC:LMRG_00464|LMRG_00464|FIG008122: Sugar kinase and transcription regulator (EC 2.7.1.-)|PlantCyc_Gene|Gene
PCYC:LMRG_02477|LMRG_02477|Accessory gene regulator protein B (EC 3.4.-.-)|PlantCyc_Gene|Gene
PCYC:LMRG_00118|LMRG_00118|PTS system, fructose-specific IIA component (EC 2.7.1.69)|PlantCyc_Gene|Gene
PCYC:LMRG_02030|LMRG_02030|Lipoate-protein ligase A|PlantCyc_Gene|Gene
PCYC:LMRG_01328|LMRG_01328|Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)|PlantCyc_Gene|Gene
PCYC:LMRG_00439|LMRG_00439|FIG021106: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00998|LMRG_00998|FIG007566: carboxyl-terminal protease|PlantCyc_Gene|Gene
PCYC:LMRG_00242|LMRG_00242|NADP-specific glutamate dehydrogenase (EC 1.4.1.4)|PlantCyc_Gene|Gene
PCYC:LMRG_00623|LMRG_00623|Ethanolamine utilization polyhedral-body-like protein EutL|PlantCyc_Gene|Gene
PCYC:LMRG_00511|LMRG_00511|FIG011211: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00975|LMRG_00975|Protein YicC|PlantCyc_Gene|Gene
PCYC:LMRG_01828|LMRG_01828|FIG017612: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02887|LMRG_02887|FIG085592: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00714|LMRG_00714|FIG018379: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02946|LMRG_02946|FIG036004: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00506|LMRG_00506|FIG229262: Molybdenum cofactor biosynthesis protein MoaD|PlantCyc_Gene|Gene
PCYC:LMRG_00925|dnaJ;lmo1472|Chaperone protein DnaJ|PlantCyc_Gene|Gene
PCYC:LMRG_01673|LMRG_01673|Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase|PlantCyc_Gene|Gene
PCYC:LMRG_01956|LMRG_01956|FIG006703: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00462|LMRG_00462|FIG172580: Diacylglycerol kinase-related protein|PlantCyc_Gene|Gene
PCYC:LMRG_00170|LMRG_00170|FIG005754: 2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)|PlantCyc_Gene|Gene
PCYC:LMRG_02413|LMRG_02413|Transition state regulatory protein AbrB|PlantCyc_Gene|Gene
PCYC:LMRG_00602|LMRG_00602|Propanediol utilization polyhedral body protein PduJ|PlantCyc_Gene|Gene
PCYC:LMRG_00921|LMRG_00921|GatB Yqey domain protein|PlantCyc_Gene|Gene
PCYC:LMRG_02553|LMRG_02553|Outer surface protein of unknown function, cellobiose operon|PlantCyc_Gene|Gene
PCYC:LMRG_01807|LMRG_01807|FIG008906: Transcriptional regulator, DeoR family|PlantCyc_Gene|Gene
PCYC:LMRG_00552|LMRG_00552|FIG172606: Beta-1,3-glucosyltransferase|PlantCyc_Gene|Gene
PCYC:LMRG_00923|LMRG_00923|Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)|PlantCyc_Gene|Gene
PCYC:LMRG_00934|LMRG_00934|FIG131605: DNA polymerase III delta subunit (EC 2.7.7.7)|PlantCyc_Gene|Gene
PCYC:LMRG_02072|dltB;lmo0973|D-alanine transport protein|PlantCyc_Gene|Gene
PCYC:LMRG_01521|LMRG_01521|Protein gp43 [Bacteriophage A118]|PlantCyc_Gene|Gene
PCYC:LMRG_02419|LMRG_02419|L-rhamnose isomerase (EC 5.3.1.14)|PlantCyc_Gene|Gene
PCYC:LMRG_00505|LMRG_00505|Molybdenum cofactor biosynthesis protein MoaE|PlantCyc_Gene|Gene
PCYC:LMRG_01203|LMRG_01203|Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)|PlantCyc_Gene|Gene
PCYC:LMRG_02392|LMRG_02392|FIG030641: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01072|LMRG_01072|FIG001532: Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57) @ Histidinol-phosphate aminotransferase (EC 2.6.1.9)|PlantCyc_Gene|Gene
PCYC:LMRG_00107|pgdA;lmo0415|Peptidoglycan N-acetylglucosamine deacetylase|PlantCyc_Gene|Gene
PCYC:LMRG_02032|LMRG_02032|FIG009298: Glycosyltransferase|PlantCyc_Gene|Gene
PCYC:LMRG_00520|LMRG_00520|FIG007014: putative transcriptional regulator|PlantCyc_Gene|Gene
PCYC:LMRG_00012|LMRG_00012|FIG001882: 6-phospho-beta-glucosidase (EC 3.2.1.86)|PlantCyc_Gene|Gene
PCYC:LMRG_02394|LMRG_02394|FIG011398: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01803|LMRG_01803|Internalin-like protein Lmo2445 homolog|PlantCyc_Gene|Gene
PCYC:LMRG_00315|LMRG_00315|PTS system, fructose-specific IIC component (EC 2.7.1.69)|PlantCyc_Gene|Gene
PCYC:LMRG_01703|LMRG_01703|Thymidine kinase (EC 2.7.1.21)|PlantCyc_Gene|Gene
PCYC:LMRG_01994|LMRG_01994|FIG000557: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00576|LMRG_00576|FIG011824: transcriptional regulator, MerR family|PlantCyc_Gene|Gene
PCYC:LMRG_02546|LMRG_02546|FIG001894: Transcriptional regulator, GntR family|PlantCyc_Gene|Gene
PCYC:LMRG_00188|LMRG_00188|PTS system, galactitol-specific IIB component (EC 2.7.1.69)|PlantCyc_Gene|Gene
PCYC:LMRG_02775|LMRG_02775|FIG007285: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02604|LMRG_02604|Phosphatase YidA|PlantCyc_Gene|Gene
PCYC:LMRG_02596|LMRG_02596|Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)|PlantCyc_Gene|Gene
PCYC:LMRG_00588|LMRG_00588|FIG016912: Propanediol utilization protein PduV|PlantCyc_Gene|Gene
PCYC:LMRG_00650|LMRG_00650|Substrate-specific component CbiM of cobalt ECF transporter|PlantCyc_Gene|Gene
PCYC:LMRG_01212|LMRG_01212|FIG001556: Copper resistance protein D|PlantCyc_Gene|Gene
PCYC:LMRG_02562|LMRG_02562|FIG010032: aminoglycoside N3-acetyltransferase|PlantCyc_Gene|Gene
PCYC:LMRG_01297|LMRG_01297|FIG004843: YidD|PlantCyc_Gene|Gene
PCYC:LMRG_01654|LMRG_01654|FIG015331: Putative peptidoglycan bound protein (LPXTG motif) Lmo2178 homolog|PlantCyc_Gene|Gene
PCYC:LMRG_02182|LMRG_02182|Putative pheromone precursor lipoprotein|PlantCyc_Gene|Gene
PCYC:LMRG_00744|miaA|tRNA delta(2)-isopentenylpyrophosphate transferase|PlantCyc_Gene|Gene
PCYC:LMRG_00041|LMRG_00041|FIG007260: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01532|LMRG_01532|Terminase large subunit [Bacteriophage A118]|PlantCyc_Gene|Gene
PCYC:LMRG_02509|LMRG_02509|FIG011429: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02936|LMRG_02936|FIG049830: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01639|LMRG_01639|FIG002049: Oligopeptide transport ATP-binding protein oppD (TC 3.A.1.5.1)|PlantCyc_Gene|Gene
PCYC:LMRG_01605|LMRG_01605|FIG007486: ABC transporter, ATP-binding protein|PlantCyc_Gene|Gene
PCYC:LMRG_00835|LMRG_00835|Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)|PlantCyc_Gene|Gene
PCYC:LMRG_00056|LMRG_00056|FIG009317: Transcriptional regulator, DeoR family|PlantCyc_Gene|Gene
PCYC:LMRG_01848|LMRG_01848|FIG007674: acetyltransferase, GNAT family|PlantCyc_Gene|Gene
PCYC:LMRG_00962|LMRG_00962|FIG001802: Putative alkaline-shock protein|PlantCyc_Gene|Gene
PCYC:LMRG_02312|LMRG_02312|Programmed cell death toxin YdcE|PlantCyc_Gene|Gene
PCYC:LMRG_00174|LMRG_00174|FIG009253: hydrolase, CocE/NonD family|PlantCyc_Gene|Gene
PCYC:LMRG_00794|LMRG_00794|Late competence protein ComGD, access of DNA to ComEA, FIG012777|PlantCyc_Gene|Gene
PCYC:LMRG_02636|LMRG_02636|FIG067681: Transcription-repair coupling factor|PlantCyc_Gene|Gene
PCYC:LMRG_02530|virS;lmo1741|Two-component system sensor histidine kinase VirS|PlantCyc_Gene|Gene
PCYC:LMRG_01439|LMRG_01439|S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)|PlantCyc_Gene|Gene
PCYC:LMRG_00568|LMRG_00568|FIG009559: acetyltransferase, GNAT family|PlantCyc_Gene|Gene
PCYC:LMRG_01853|LMRG_01853|FIG008729: putative transmembrane efflux protein|PlantCyc_Gene|Gene
PCYC:LMRG_00938|LMRG_00938|FIG145533: Methyltransferase (EC 2.1.1.-)|PlantCyc_Gene|Gene
PCYC:LMRG_01516|LMRG_01516|FIG048929: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00963|LMRG_00963|LSU ribosomal protein L28p|PlantCyc_Gene|Gene
PCYC:LMRG_01372|LMRG_01372|GAF domain protein; CDS_ID OB2202|PlantCyc_Gene|Gene
PCYC:LMRG_01608|LMRG_01608|Hypothetical protein SAV1846|PlantCyc_Gene|Gene
PCYC:LMRG_02018|LMRG_02018|FIG011312: PRD/PTS system IIA 2 domain protein|PlantCyc_Gene|Gene
PCYC:LMRG_00479|LMRG_00479|FIG011433: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00451|LMRG_00451|FIG008626: Ser/Thr protein phosphatase family protein|PlantCyc_Gene|Gene
PCYC:LMRG_01536|LMRG_01536|FIG024928: Phage capsid protein|PlantCyc_Gene|Gene
PCYC:LMRG_00270|LMRG_00270|Deoxyribodipyrimidine photolyase (EC 4.1.99.3)|PlantCyc_Gene|Gene
PCYC:LMRG_01938|LMRG_01938|FIG020613: Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)|PlantCyc_Gene|Gene
PCYC:LMRG_00599|LMRG_00599|FIG010846: Propanediol dehydratase reactivation factor large subunit|PlantCyc_Gene|Gene
PCYC:LMRG_00701|LMRG_00701|FIG006983: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01738|LMRG_01738|FIG034293: Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)|PlantCyc_Gene|Gene
PCYC:LMRG_00894|LMRG_00894|FIG008843: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00837|LMRG_00837|FIG003719: membrane protein|PlantCyc_Gene|Gene
PCYC:LMRG_02132|LMRG_02132|FIG007217: oxidoreductase, aldo/keto reductase family|PlantCyc_Gene|Gene
PCYC:LMRG_00540|LMRG_00540|FIG000108: UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)|PlantCyc_Gene|Gene
PCYC:LMRG_02799|LMRG_02799|FIG007314: acetyltransferase, GNAT family|PlantCyc_Gene|Gene
PCYC:LMRG_00796|LMRG_00796|Late competence protein ComGB, access of DNA to ComEA|PlantCyc_Gene|Gene
PCYC:LMRG_00205|LMRG_00205|sulfate transporter family protein|PlantCyc_Gene|Gene
PCYC:LMRG_00929|LMRG_00929|Putative coproporphyrinogen III oxidase of BS HemN-type, oxygen-independent (EC 1.3.99.22), in heat shock gene cluster|PlantCyc_Gene|Gene
PCYC:LMRG_02747|LMRG_02747|glycosyl hydrolase, family 31|PlantCyc_Gene|Gene
PCYC:LMRG_01773|LMRG_01773|FIG000901: Phosphoglucomutase (EC 5.4.2.2)|PlantCyc_Gene|Gene
PCYC:LMRG_02688|LMRG_02688|FIG016613: internalin H|PlantCyc_Gene|Gene
PCYC:LMRG_01170|LMRG_01170|Transcriptional repressor for NAD biosynthesis in gram-positives|PlantCyc_Gene|Gene
PCYC:LMRG_00673|LMRG_00673|Uracil-DNA glycosylase, family 1|PlantCyc_Gene|Gene
PCYC:LMRG_02139|LMRG_02139|FIG025681: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00756|LMRG_00756|FIG007310: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00082|LMRG_00082|FIG010395: Low temperature requirement protein A|PlantCyc_Gene|Gene
PCYC:LMRG_02649|LMRG_02649|FIG007522: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01692|LMRG_01692|Glycosyltransferase LafA, responsible for the formation of Glc-DAG|PlantCyc_Gene|Gene
PCYC:LMRG_00195|LMRG_00195|Internalin-like protein (LPXTG motif) Lmo0514 homolog|PlantCyc_Gene|Gene
PCYC:LMRG_00803|LMRG_00803|FIG007233: lipoprotein,|PlantCyc_Gene|Gene
PCYC:LMRG_02183|LMRG_02183|NADH dehydrogenase (EC 1.6.99.3) in cluster with putative pheromone precursor|PlantCyc_Gene|Gene
PCYC:LMRG_02862|LMRG_02862|FIG037147: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01951|LMRG_01951|FIG172573: Multidrug resistance ABC transporter ATP-binding and permease protein|PlantCyc_Gene|Gene
PCYC:LMRG_01688|LMRG_01688|FIG007152: Transcriptional regulator, GntR family|PlantCyc_Gene|Gene
PCYC:LMRG_00990|LMRG_00990|FIG000124: Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)|PlantCyc_Gene|Gene
PCYC:LMRG_01630|LMRG_01630|3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)|PlantCyc_Gene|Gene
PCYC:LMRG_01965|LMRG_01965|FIG010282: Transcription regulator, RpiR family|PlantCyc_Gene|Gene
PCYC:LMRG_00898|LMRG_00898|FIG005113: Zinc ABC transporter, inner membrane permease protein ZnuB|PlantCyc_Gene|Gene
PCYC:LMRG_01475|LMRG_01475|Hypothetical protein perhaps functionally coupled to transcription elongation factor GreA|PlantCyc_Gene|Gene
PCYC:LMRG_00658|LMRG_00658|FIG007736: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00970|LMRG_00970|Methionyl-tRNA formyltransferase (EC 2.1.2.9)|PlantCyc_Gene|Gene
PCYC:LMRG_00009|LMRG_00009|Hydroxyethylthiazole kinase (EC 2.7.1.50)|PlantCyc_Gene|Gene
PCYC:LMRG_00642|LMRG_00642|Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)|PlantCyc_Gene|Gene
PCYC:LMRG_02647|LMRG_02647|Internalin G (LPXTG motif)|PlantCyc_Gene|Gene
PCYC:LMRG_00847|LMRG_00847|Transcriptional regulator in cluster with unspecified monosaccharide ABC transport system|PlantCyc_Gene|Gene
PCYC:LMRG_01122|LMRG_01122|FIG023943: DNA polymerase IV (EC 2.7.7.7)|PlantCyc_Gene|Gene
PCYC:LMRG_00571|LMRG_00571|FIG007762: acetyltransferase, GNAT family|PlantCyc_Gene|Gene
PCYC:LMRG_01246|LMRG_01246|FIG018585: Tagatose-6-phosphate kinase (EC 2.7.1.144) / 1-phosphofructokinase (EC 2.7.1.56)|PlantCyc_Gene|Gene
PCYC:LMRG_00680|LMRG_00680|FIG000185: Excinuclease ABC subunit C|PlantCyc_Gene|Gene
PCYC:LMRG_02845|LMRG_02845|FIG007152: Transcriptional regulator, GntR family|PlantCyc_Gene|Gene
PCYC:LMRG_00784|LMRG_00784|FIG007141: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00699|LMRG_00699|FIG003719: membrane protein|PlantCyc_Gene|Gene
PCYC:LMRG_02628|LMRG_02628|Distant similarity with viral glycoprotein gp160 of HIV type 1|PlantCyc_Gene|Gene
PCYC:LMRG_00408|LMRG_00408|Transcriptional regulator, PadR family|PlantCyc_Gene|Gene
PCYC:LMRG_01961|LMRG_01961|Putative sucrose phosphorylase (EC 2.4.1.7)|PlantCyc_Gene|Gene
PCYC:LMRG_02746|LMRG_02746|FIG013626: N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein|PlantCyc_Gene|Gene
PCYC:LMRG_01936|LMRG_01936|ABC transporter ATP-binding protein uup|PlantCyc_Gene|Gene
PCYC:LMRG_00905|LMRG_00905|FIG008776: Putative tRNA-m1A22 methylase|PlantCyc_Gene|Gene
PCYC:LMRG_00121|LMRG_00121|FIG008761: glycosyl hydrolase, family 38|PlantCyc_Gene|Gene
PCYC:LMRG_02021|LMRG_02021|FIG004571: ABC transporter, substrate-binding protein|PlantCyc_Gene|Gene
PCYC:LMRG_01259|LMRG_01259|FIG007640: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01034|LMRG_01034|FIG001721: Predicted N6-adenine-specific DNA methylase|PlantCyc_Gene|Gene
PCYC:LMRG_02605|LMRG_02605|Beta-glucosidase (EC 3.2.1.21); 6-phospho-beta-glucosidase (EC 3.2.1.86)|PlantCyc_Gene|Gene
PCYC:LMRG_02676|mcsA|McsA|PlantCyc_Gene|Gene
PCYC:LMRG_00535|LMRG_00535|FIG016684: Vitamin B12 ABC transporter, B12-binding component BtuF|PlantCyc_Gene|Gene
PCYC:LMRG_02089|LMRG_02089|FIG007560: Transcriptional regulator, MarR family|PlantCyc_Gene|Gene
PCYC:LMRG_00438|LMRG_00438|FIG019644: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01640|LMRG_01640|FIG018865: Oligopeptide transport ATP-binding protein oppF (TC 3.A.1.5.1)|PlantCyc_Gene|Gene
PCYC:LMRG_01387|LMRG_01387|FIG036825: Universal stress protein family|PlantCyc_Gene|Gene
PCYC:LMRG_02737|LMRG_02737|FIG006491: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01187|LMRG_01187|UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase|PlantCyc_Gene|Gene
PCYC:LMRG_00521|LMRG_00521|FIG007111: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02548|LMRG_02548|FIG015233: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01288|LMRG_01288|Cystathionine beta-lyase (EC 4.4.1.8)|PlantCyc_Gene|Gene
PCYC:LMRG_01138|LMRG_01138|3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)|PlantCyc_Gene|Gene
PCYC:LMRG_01343|LMRG_01343|FIG007636: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02254|LMRG_02254|FIG010007: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02645|LMRG_02645|Cysteine synthase (EC 2.5.1.47)|PlantCyc_Gene|Gene
PCYC:LMRG_02428|LMRG_02428|FIG008466: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01027|LMRG_01027|FIG010407: RNase H|PlantCyc_Gene|Gene
PCYC:LMRG_02204|LMRG_02204|Ribulose-phosphate 3-epimerase (EC 5.1.3.1)|PlantCyc_Gene|Gene
PCYC:LMRG_01569|LMRG_01569|Putative hydrolase of the alpha/beta superfamily|PlantCyc_Gene|Gene
PCYC:LMRG_01862|LMRG_01862|Zinc-type alcohol dehydrogenase YcjQ|PlantCyc_Gene|Gene
PCYC:LMRG_00720|sipY;lmo1270|Signal peptidase I|PlantCyc_Gene|Gene
PCYC:LMRG_00350|LMRG_00350|FIG009295: Cof-like hydrolase|PlantCyc_Gene|Gene
PCYC:LMRG_02753|LMRG_02753|Dimethyladenosine transferase (EC 2.1.1.-)|PlantCyc_Gene|Gene
PCYC:LMRG_01379|argD;lmo1588|Acetylornithine aminotransferase/GABA aminotransferase|PlantCyc_Gene|Gene
PCYC:LMRG_02931|LMRG_02931|FIG027579: magnesium and cobalt transport protein CorA|PlantCyc_Gene|Gene
PCYC:LMRG_02801|LMRG_02801|ABC transporter, ATP-binding protein|PlantCyc_Gene|Gene
PCYC:LMRG_00996|LMRG_00996|FIG011708: Manganese ABC transporter, ATP-binding protein SitB|PlantCyc_Gene|Gene
PCYC:LMRG_00046|LMRG_00046|Fumarate reductase flavoprotein subunit (EC 1.3.99.1)|PlantCyc_Gene|Gene
PCYC:LMRG_02579|htrA;degP;lmo0292|Serine protease|PlantCyc_Gene|Gene
PCYC:LMRG_00220|LMRG_00220|Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit A|PlantCyc_Gene|Gene
PCYC:LMRG_02400|LMRG_02400|FIG005113: Zinc ABC transporter, inner membrane permease protein ZnuB|PlantCyc_Gene|Gene
PCYC:LMRG_01150|LMRG_01150|PTS system, mannose-specific IIB component (EC 2.7.1.69)|PlantCyc_Gene|Gene
PCYC:LMRG_02060|LMRG_02060|peptidase, U32 family large subunit [C1]|PlantCyc_Gene|Gene
PCYC:LMRG_00876|LMRG_00876|FIG012160: Manganese transport protein MntH|PlantCyc_Gene|Gene
PCYC:LMRG_00739|LMRG_00739|Internalin-like protein (LPXTG motif) Lmo1289 homolog|PlantCyc_Gene|Gene
PCYC:LMRG_02397|LMRG_02397|FIG024537: Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)|PlantCyc_Gene|Gene
PCYC:LMRG_02064|LMRG_02064|FIG010086: Adenylate cyclase|PlantCyc_Gene|Gene
PCYC:LMRG_01375|LMRG_01375|FIG000718: Thiamine biosynthesis protein thiI|PlantCyc_Gene|Gene
PCYC:LMRG_00332|LMRG_00332|FIG007286: amino acid permease family protein|PlantCyc_Gene|Gene
PCYC:LMRG_02276|LMRG_02276|FIG003075: Quaternary ammonium compound-resistance protein sugE|PlantCyc_Gene|Gene
PCYC:LMRG_01841|LMRG_01841|FIG011078: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00236|LMRG_00236;lmo0554|aldehyde reductase|PlantCyc_Gene|Gene
PCYC:LMRG_01359|LMRG_01359|FIG006002: tRNA binding domain protein|PlantCyc_Gene|Gene
PCYC:LMRG_01241|LMRG_01241|FIG000301: Argininosuccinate synthase (EC 6.3.4.5)|PlantCyc_Gene|Gene
PCYC:LMRG_02129|LMRG_02129|Hydrolase (HAD superfamily) in cluster with DUF1447|PlantCyc_Gene|Gene
PCYC:LMRG_00640|LMRG_00640|cobalamin biosynthesis protein CbiD|PlantCyc_Gene|Gene
PCYC:LMRG_01157|LMRG_01157|FIG007586: ABC transporter, permease protein|PlantCyc_Gene|Gene
PCYC:LMRG_02506|LMRG_02506|IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)|PlantCyc_Gene|Gene
PCYC:LMRG_01133|LMRG_01133|Acetolactate synthase small subunit (EC 2.2.1.6)|PlantCyc_Gene|Gene
PCYC:LMRG_00397|LMRG_00397|FIG000784: Flagellar biosynthesis protein FliS|PlantCyc_Gene|Gene
PCYC:LMRG_02062|LMRG_02062|Heat shock protein HtpX (EC 3.4.24.-)|PlantCyc_Gene|Gene
PCYC:LMRG_00271|LMRG_00271|FIG010634: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00248|LMRG_00248|Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)|PlantCyc_Gene|Gene
PCYC:LMRG_02423|LMRG_02423|FIG006935: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01395|LMRG_01395|FIG000442: Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)|PlantCyc_Gene|Gene
PCYC:LMRG_01844|LMRG_01844|FIG002506: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00257|LMRG_00257|FIG007152: Transcriptional regulator, GntR family|PlantCyc_Gene|Gene
PCYC:LMRG_01821|LMRG_01821|Cell division protein FtsW|PlantCyc_Gene|Gene
PCYC:LMRG_00573|LMRG_00573|FIG172601: ABC transporter, ATP-binding/permease protein|PlantCyc_Gene|Gene
PCYC:LMRG_00246|LMRG_00246|Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)|PlantCyc_Gene|Gene
PCYC:LMRG_00218|LMRG_00218|glycosyl hydrolase, family 4|PlantCyc_Gene|Gene
PCYC:LMRG_01682|LMRG_01682|FIG008410: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01652|LMRG_01652|FIG008498: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01403|LMRG_01403|Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)|PlantCyc_Gene|Gene
PCYC:LMRG_01525|LMRG_01525|Recombinational DNA repair protein RecT (prophage associated)|PlantCyc_Gene|Gene
